"bathroom_vanity","bathroom_vanity_orientation_parallel_sink","bathroom_vanity_proximity_sink","bathroomvanity","bathroomvanity_proximity_bathtub","bathroomvanity_proximity_sink","bathroomvanity_proximity_toilet","bathroomvanity_proximity_wall","bathtub","bathtub_orientation_parallel_wall","bathtub_proximity_toilet","bathtub_proximity_wall","bed","bed_orientation_parallel_bed","bed_orientation_parallel_chair","bed_orientation_parallel_lamp","bed_orientation_parallel_night_stand","bed_orientation_parallel_pillow","bed_orientation_parallel_wall","bed_orientation_perpendicular_pillow","bed_proximity_bed","bed_proximity_box","bed_proximity_chair","bed_proximity_dresser","bed_proximity_lamp","bed_proximity_night_stand","bed_proximity_pillow","bed_proximity_wall","bed_side_to_side_wall","bed_vertical-support_pillow","box","box_orientation_parallel_wall","box_proximity_wall","cabinet","cabinet_proximity_chair","cabinet_vertical-support_counter","chair","chair_orientation_parallel_chair","chair_orientation_parallel_wall","chair_orientation_perpendicular_chair","chair_proximity_chair","chair_proximity_desk","chair_proximity_sofa","chair_proximity_table","chair_proximity_wall","coffee_table","coffee_table_proximity_sofa","coffee_table_proximity_wall","counter","counter_vertical-support_faucet","desk","desk_orientation_parallel_chair","door","door_orientation_parallel_wall","door_proximity_wall","dresser","dresser_orientation_parallel_wall","dresser_proximity_wall","endtable","endtable_orientation_parallel_wall","endtable_proximity_sofa_chair","faucet","floor","floor_horizontal-support_pot","floor_support_bed","floor_support_toilet","floor_vertical-support_box","floor_vertical-support_cabinet","floor_vertical-support_chair","floor_vertical-support_door","floor_vertical-support_garbage_bin","floor_vertical-support_paper","floor_vertical-support_picture","floor_vertical-support_refridgerator","floor_vertical-support_sink","floor_vertical-support_sofa","floor_vertical-support_stove_burner","floor_vertical-support_table","floor_vertical-support_unknown","floor_vertical-support_wall","garbage_bin","garbage_bin_proximity_toilet","lamp","mirror","mirror_orientation_parallel_sink","mirror_proximity_sink","night_stand","night_stand_orientation_parallel_pillow","night_stand_orientation_parallel_wall","paper","picture","pillow","pillow_orientation_parallel_pillow","pillow_orientation_parallel_wall","pillow_orientation_perpendicular_pillow","pillow_proximity_pillow","pillow_proximity_sofa","pillow_proximity_wall","pillow_vertical-support_pillow","pot","refridgerator","room","room_support_floor","room_support_wall","room_vertical-support_sink","room_vertical-support_wall","sink","sink_orientation_parallel_bathroomvanity","sink_orientation_parallel_mirror","sink_orientation_parallel_sink","sink_proximity_sink","sink_proximity_toilet","sink_side_to_side_sink","sofa","sofa_chair","sofa_orientation_parallel_chair","sofa_orientation_parallel_coffee_table","sofa_orientation_parallel_endtable","sofa_orientation_parallel_pillow","sofa_orientation_parallel_table","sofa_orientation_parallel_wall","sofa_orientation_perpendicular_chair","sofa_orientation_perpendicular_pillow","sofa_orientation_perpendicular_sofa","sofa_orientation_perpendicular_wall","sofa_proximity_table","sofa_proximity_wall","stove_burner","table","table_orientation_parallel_chair","table_orientation_parallel_wall","table_orientation_perpendicular_chair","toilet","toilet_orientation_parallel_bathroomvanity","toilet_orientation_parallel_sink","toilet_orientation_parallel_wall","toilet_proximity_wall","tv","tv_proximity_wall","unknown","urinal","urinal_orientation_parallel_urinal","urinal_proximity_urinal","wall","wall_orientation_parallel_bathroomvanity","wall_orientation_parallel_bathtub","wall_orientation_parallel_bed","wall_orientation_parallel_box","wall_orientation_parallel_chair","wall_orientation_parallel_door","wall_orientation_parallel_dresser","wall_orientation_parallel_endtable","wall_orientation_parallel_night_stand","wall_orientation_parallel_pillow","wall_orientation_parallel_sink","wall_orientation_parallel_sofa","wall_orientation_parallel_table","wall_orientation_parallel_toilet","wall_orientation_parallel_tv","wall_orientation_parallel_wall","wall_orientation_perpendicular_bathroomvanity","wall_orientation_perpendicular_bathtub","wall_orientation_perpendicular_bed","wall_orientation_perpendicular_chair","wall_orientation_perpendicular_coffee_table","wall_orientation_perpendicular_sink","wall_orientation_perpendicular_sofa","wall_orientation_perpendicular_sofa_chair","wall_orientation_perpendicular_toilet","wall_orientation_perpendicular_wall","wall_proximity_wall","wall_side_to_side_dresser","wall_side_to_side_wall","wall_support_pillow","wall_symmetry_wall","wall_vertical-support_bathroomvanity"
0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
